
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   23:38:23  NOV 14, 2016 CP=    172.062

                                                                               



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 TEMP    
                  TEMP    
   50.000         19.0799    
   100.00         80.2853    
   150.00         149.312    
   200.00         219.113    
   250.00         288.942    
   300.00         358.771    
   350.00         428.601    
   400.00         498.430    
   450.00         568.259    
   500.00         638.089    
   550.00         707.918    
   600.00         777.747    
   650.00         847.576    
   700.00         917.406    
   750.00         987.235    
   800.00         1057.06    
   850.00         1126.89    
   900.00         1196.72    
   950.00         1266.55    
   1000.0         1336.38    
