
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   23:38:23  NOV 14, 2016 CP=    172.062

                                                                               



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         17 TEMP    
                  TEMP    
   50.000         59.6471    
   100.00         129.531    
   150.00         199.463    
   200.00         269.299    
   250.00         339.128    
   300.00         408.957    
   350.00         478.787    
   400.00         548.616    
   450.00         618.445    
   500.00         688.274    
   550.00         758.104    
   600.00         827.933    
   650.00         897.762    
   700.00         967.591    
   750.00         1037.42    
   800.00         1107.25    
   850.00         1177.08    
   900.00         1246.91    
   950.00         1316.74    
   1000.0         1386.57    
